trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
937dc6a7-5a64-45bf-bb96-0ff818614215,20000111110,S_REG,Santa Cruz,11,1,4s1f
5bbd743d-ee60-4aa5-9e08-2367db383dde,20000111110,D_REG,Santa Cruz,11,1,4s1f
ad1f6be6-8b75-4994-9643-db600cb48237,20000121130,U_REG,Terminal Alvorada,12,0,jv6a
5bda5f60-8d7f-4c49-bc69-07c23734a396,20000121130,U_REG,Terminal Alvorada,12,0,jv6a
99dc0eab-90a5-4104-8031-61006be10f88,20000121130,U_REG,Terminal Alvorada,12,0,jv6a
74aef23a-97c4-423a-9d3b-027937110af2,20000121130,U_REG,Terminal Alvorada,12,0,jv6a
44ef430c-a104-43f3-afec-f8d7dd960415,20000121130,U_REG,Terminal Alvorada,12,0,jv6a
1bd2a468-c005-4b0c-ba26-9efb5d0fc9e4,20000121130,S_REG,Terminal Alvorada,12,0,jv6a
3925b0e4-31f1-4eaf-8de8-eeb41321bd4b,20000121130,S_REG,Terminal Alvorada,12,0,jv6a
86a5df74-b38e-4198-a39b-78e9c3e82095,20000121130,D_REG,Terminal Alvorada,12,0,jv6a
b5300015-4553-4224-b23e-6d59e86cdc75,20000121130,U_REG,Pingo D'Água,12,1,grp0
698b34b3-e13e-4d13-b765-03d09ddee833,20000121130,S_REG,Pingo D'Água,12,1,grp0
60a33ade-0e5d-40a7-9696-f4c199dac4e9,20000121130,S_REG,Pingo D'Água,12,1,grp0
26033513-1f66-4752-ba0a-a3e6ed0daaf9,20000121130,D_REG,Pingo D'Água,12,1,grp0
2be5f149-897c-4194-842b-1edc7591bd15,20000121130,S_REG,Terminal Alvorada,12,0,jv6a
14ce1c2a-f2f8-49b4-8122-ffbcb2f99481,20000121130,S_REG,Terminal Alvorada,12,0,jv6a
8f093037-3b94-45f9-bd4f-058ae709a342,20000121130,D_REG,Terminal Alvorada,12,0,jv6a
a3555872-6f8b-420b-bbfd-043bacf19877,20000121130,D_REG,Terminal Alvorada,12,0,jv6a
d61d678f-2a70-4080-8d5e-c21232e06a69,20000121130,U_REG,Pingo D'Água,12,1,grp0
fb73f856-0ea1-45d4-b743-33f3ca8863d9,20000121130,U_REG,Pingo D'Água,12,1,grp0
a30ebc45-221e-48d5-9f44-34dd3b50f898,20000121130,S_REG,Pingo D'Água,12,1,grp0
aec63431-27b3-4624-9698-1a78ac16a480,20000121130,D_REG,Pingo D'Água,12,1,grp0
c8e2efd9-2359-43a1-9465-9127f03b2a2e,20000121130,S_REG,Terminal Alvorada,12,0,jv6a
33135357-c149-4282-95a9-d186da40dbeb,20000121130,D_REG,Terminal Alvorada,12,0,jv6a
b4d4c598-c2c0-456e-bd09-702a85c5e4f4,20000121130,D_REG,Terminal Alvorada,12,0,jv6a
6c240c15-bf1b-484b-8b57-1e1642c48a5f,20000121130,U_REG,Pingo D'Água,12,1,grp0
9903c729-ebcf-45de-822e-1d9b21f801e0,20000121130,S_REG,Pingo D'Água,12,1,grp0
4e6a4574-e939-42ce-871a-78ba4b8403c2,20000121130,S_REG,Pingo D'Água,12,1,grp0
